Estimator,MSE,seconds,dataset.kwargs.dataset
DM,0.0456193175425339,0.0333197116851806,pendigits
DR,6.602537751042554e-05,0.0229671001434326,pendigits
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,6.602537751042554e-05,0.9949688911437988,pendigits
B: A + one SE rule,6.602537751042554e-05,0.8963603973388672,pendigits
C: A + theory split ratio,6.602537751042554e-05,1.8922064304351809,pendigits
D: B + C,6.602537751042554e-05,1.827094316482544,pendigits
E: D + 100 K training/test splits,6.602537751042554e-05,15.834002017974854,pendigits
IPS,0.0004245566024298,0.0044841766357421,satimage
DM,0.0185029102967541,0.0178239345550537,satimage
DR,0.000172302295412,0.0115211009979248,satimage
A: \ensuremath{\tt OCV_{DR}} 90/10 split ratio,0.0004245566024298,0.4798934459686279,satimage
B: A + one SE rule,0.0004245566024298,0.275259256362915,satimage
C: A + theory split ratio,0.000172302295412,0.9496848583221436,satimage
D: B + C,0.000172302295412,0.9523580074310304,satimage
E: D + 100 K training/test splits,0.000172302295412,11.934184551239014,satimage
IPS,1.033544131886646e-05,0.0032572746276855,vehicle
DM,0.0025618408361735,0.0210664272308349,vehicle
DR,0.0003458440217147,0.0048263072967529,vehicle
