Estimator,MSE,seconds,"dataset.kwargs[""dataset""]"
IPS,0.00030741138436342916,0.0020308494567871094,pendigits
DM,0.0438076439671771,0.006840229034423828,pendigits
DR,3.6512021713191235e-05,0.0035598278045654297,pendigits
\ensuremath{\tt OCV_{DM}},0.0438076439671771,0.26018857955932617,pendigits
IPS,3.7804940683973485e-05,0.0014221668243408203,satimage
DM,0.016934282577961812,0.006072998046875,satimage
DR,1.114415656392031e-05,0.004118680953979492,satimage
\ensuremath{\tt OCV_{DM}},0.016934282577961812,0.19919371604919434,satimage
IPS,4.7701406162130577e-05,0.00032138824462890625,vehicle
DM,0.0027305151833675978,0.0017497539520263672,vehicle
DR,0.00031294258417982656,0.0004680156707763672,vehicle
\ensuremath{\tt OCV_{DM}},0.0027305151833675978,0.07697200775146484,vehicle
IPS,0.006400820710013498,0.0004737377166748047,yeast
DM,0.0001467715118804088,0.0030257701873779297,yeast
DR,0.002363152453165885,0.0008504390716552734,yeast
\ensuremath{\tt OCV_{DM}},0.0001467715118804088,0.1208953857421875,yeast
IPS,0.011525531527754058,0.0003294944763183594,ecoli
DM,0.0019174019537006903,0.002186298370361328,ecoli
DR,0.0002039584370843054,0.0005345344543457031,ecoli
\ensuremath{\tt OCV_{DM}},0.0019174019537006903,0.06248617172241211,ecoli
IPS,0.01615076011716736,0.00025081634521484375,glass
DM,0.008001926994375153,0.0019376277923583984,glass
DR,0.007064317649476939,0.0004024505615234375,glass
\ensuremath{\tt OCV_{DM}},0.007064317649476939,0.0772850513458252,glass
IPS,0.0002193115591352733,0.008982419967651367,letter
DM,0.14537247633736508,0.02445220947265625,letter
DR,8.544575164963976e-06,0.019661426544189453,letter
\ensuremath{\tt OCV_{DM}},0.14537247633736508,0.6838021278381348,letter
IPS,0.0005524014584371624,0.0014469623565673828,optdigits
DM,0.016642556349634,0.006906747817993164,optdigits
DR,0.00017018595685667183,0.0040361881256103516,optdigits
\ensuremath{\tt OCV_{DM}},0.016642556349634,0.2686786651611328,optdigits
IPS,4.9649366234014664e-05,0.0010766983032226562,page-blocks
DM,0.00037433938396343766,0.003429889678955078,page-blocks
DR,0.0001824928559496703,0.0015645027160644531,page-blocks
\ensuremath{\tt OCV_{DM}},0.00037433938396343766,0.12402772903442383,page-blocks
IPS,0.0014913932566255278,0.0024890899658203125,pendigits
DM,0.05264194609508734,0.008735895156860352,pendigits
DR,0.00022107923603044966,0.004338502883911133,pendigits
\ensuremath{\tt OCV_{DM}},0.05264194609508734,0.3017122745513916,pendigits
IPS,0.00030155350338179385,0.0013873577117919922,satimage
DM,0.01487729024984705,0.005295276641845703,satimage
DR,1.2473516406881002e-06,0.0027008056640625,satimage
\ensuremath{\tt OCV_{DM}},0.01487729024984705,0.17597341537475586,satimage
IPS,0.009270961282717233,0.0003719329833984375,vehicle
DM,0.003777110302774658,0.0017976760864257812,vehicle
DR,0.000799549322513776,0.0004911422729492188,vehicle
\ensuremath{\tt OCV_{DM}},0.003777110302774658,0.08464598655700684,vehicle
IPS,0.003895584467427905,0.0004608631134033203,yeast
DM,0.0037168498968605094,0.002935647964477539,yeast
DR,0.0006907026550956366,0.0007183551788330078,yeast
\ensuremath{\tt OCV_{DM}},0.0037168498968605094,0.10615706443786621,yeast
IPS,0.012527633730241896,0.00031757354736328125,ecoli
DM,0.0010197802930375665,0.0022072792053222656,ecoli
DR,0.006166785628955376,0.0005366802215576172,ecoli
\ensuremath{\tt OCV_{DM}},0.006166785628955376,0.07831716537475586,ecoli
IPS,0.04843036816790422,0.00029397010803222656,glass
DM,0.00010378846687132978,0.0020246505737304688,glass
DR,0.0005063310759380559,0.0005548000335693359,glass
\ensuremath{\tt OCV_{DM}},0.00010378846687132978,0.06634140014648438,glass
IPS,0.0006242806570098185,0.009195089340209961,letter
DM,0.14709979384531177,0.019305706024169922,letter
DR,0.0010854694460936181,0.013300895690917969,letter
\ensuremath{\tt OCV_{DM}},0.14709979384531177,0.7063369750976562,letter
IPS,0.0009191251944807004,0.001348733901977539,optdigits
DM,0.01618485073117393,0.007225751876831055,optdigits
DR,0.00028801279766550627,0.005172252655029297,optdigits
\ensuremath{\tt OCV_{DM}},0.01618485073117393,0.2985661029815674,optdigits
IPS,0.00027886820637718415,0.0009262561798095703,page-blocks
DM,0.0009496684577091015,0.0027174949645996094,page-blocks
DR,7.344426387972444e-06,0.0012824535369873047,page-blocks
\ensuremath{\tt OCV_{DM}},0.0009496684577091015,0.11474323272705078,page-blocks
IPS,0.004748535892519826,0.002053499221801758,pendigits
DM,0.0563641646050428,0.0071964263916015625,pendigits
DR,0.00043843947992282755,0.004549264907836914,pendigits
\ensuremath{\tt OCV_{DM}},0.0563641646050428,0.26425743103027344,pendigits
IPS,2.9782828613275048e-05,0.0011591911315917969,satimage
DM,0.017235644860616274,0.00427699089050293,satimage
DR,1.6001918717057543e-05,0.0025038719177246094,satimage
\ensuremath{\tt OCV_{DM}},0.017235644860616274,0.18377065658569336,satimage
IPS,0.00048815779373047595,0.00037550926208496094,vehicle
DM,0.0071784096634375655,0.0021581649780273438,vehicle
DR,0.000773236760503616,0.0005753040313720703,vehicle
\ensuremath{\tt OCV_{DM}},0.0071784096634375655,0.08046913146972656,vehicle
IPS,0.0016336932810883224,0.0005323886871337891,yeast
DM,0.0031379720834150506,0.0037724971771240234,yeast
DR,0.001336147336008492,0.0008838176727294922,yeast
\ensuremath{\tt OCV_{DM}},0.0031379720834150506,0.09797239303588867,yeast
IPS,0.047566893949960574,0.0002732276916503906,ecoli
DM,0.029712254930034803,0.002084970474243164,ecoli
DR,0.020461744093975193,0.0004436969757080078,ecoli
\ensuremath{\tt OCV_{DM}},0.020461744093975193,0.06820249557495117,ecoli
IPS,0.011698538459179357,0.0002951622009277344,glass
DM,4.606112933837676e-06,0.002468585968017578,glass
DR,0.0007367302908810676,0.0005016326904296875,glass
\ensuremath{\tt OCV_{DM}},0.0007367302908810676,0.07562398910522461,glass
IPS,0.0013374941087736067,0.010838747024536133,letter
DM,0.13862598189430805,0.024133920669555664,letter
DR,1.1392277519880877e-05,0.015541791915893555,letter
\ensuremath{\tt OCV_{DM}},0.13862598189430805,0.6641173362731934,letter
IPS,0.0025904776733569044,0.001378774642944336,optdigits
DM,0.016022457095008408,0.0073206424713134766,optdigits
DR,0.00014909451164641345,0.005808830261230469,optdigits
\ensuremath{\tt OCV_{DM}},0.016022457095008408,0.26722192764282227,optdigits
IPS,5.5381194526963545e-05,0.0009167194366455078,page-blocks
DM,0.0007123135004660359,0.0026106834411621094,page-blocks
DR,7.967997082158643e-05,0.001443624496459961,page-blocks
\ensuremath{\tt OCV_{DM}},0.0007123135004660359,0.14182782173156738,page-blocks
IPS,0.0007299115779174531,0.0020112991333007812,pendigits
DM,0.050338880278164244,0.0062062740325927734,pendigits
